Country Name,CountryCode,ROL2018,COC2018,GE2018,Rank2018,ROL2019,COC2019,GE2019,Rank2019
Afghanistan,AFG,4.326923,4.326923,1.442308,3.365384667,4.326923,6.730769,1.923077,4.326923
Albania,ALB,38.94231,35.09615,42.78846,38.94230667,38.94231,33.17308,36.53846,36.21795
Algeria,DZA,22.11539,28.36539,20.19231,23.55769667,20.67308,29.32692,17.30769,22.43589667
American Samoa,ASM,87.98077,94.71154,46.63462,76.44231,87.98077,94.71154,41.34615,74.67948667
Andorra,AND,90.86539,86.53846,84.61539,87.33974667,90.86539,87.5,84.13461,87.5
Angola,AGO,14.42308,11.53846,8.173077,11.37820567,13.46154,13.94231,7.211538,11.53846267
Anguilla,AIA,51.44231,86.53846,55.28846,64.42307667,63.46154,87.5,54.80769,68.58974333
Antigua and Barbuda,ATG,66.34615,63.46154,20.67308,50.16025667,65.38461,63.46154,22.11539,50.32051333
Argentina,ARG,45.67308,55.28846,41.34615,47.43589667,37.01923,53.36538,36.53846,42.30769
Armenia,ARM,48.55769,42.78846,39.42308,43.58974333,49.03846,50,36.53846,45.19230667
Aruba,ABW,87.01923,87.01923,71.15385,81.73077,86.53846,85.09615,69.71154,80.44871667
Australia,AUS,92.78846,92.78846,86.53846,90.70512667,93.26923,94.23077,85.57692,91.02564
Austria,AUT,97.59615,91.34615,81.73077,90.22435667,97.11539,90.86539,83.65385,90.54487667
Azerbaijan,AZE,29.32692,21.63461,35.09615,28.68589333,30.28846,19.71154,34.61538,28.20512667
"Bahamas, The",BHS,57.21154,83.17308,55.28846,65.22436,56.73077,84.13461,52.40385,64.42307667
Bahrain,BHR,65.86539,51.44231,45.67308,54.32692667,68.75,56.73077,48.55769,58.01282
Bangladesh,BGD,27.88461,16.82692,12.01923,18.91025333,27.88461,16.34615,12.98077,19.07051
Barbados,BRB,65.38461,88.94231,48.07692,67.46794667,63.94231,88.46154,57.69231,70.03205333
Belarus,BLR,19.23077,49.03846,24.51923,30.92948667,21.63461,53.84615,31.73077,35.73717667
Belgium,BEL,88.46154,90.38461,75.48077,84.77564,88.46154,91.34615,73.55769,84.45512667
Belize,BLZ,20.19231,51.92308,11.53846,27.88461667,22.11539,48.55769,12.01923,27.56410333
Benin,BEN,26.92308,41.34615,17.30769,28.52564,26.92308,42.78846,21.63461,30.44871667
Bermuda,BMU,78.84615,86.53846,74.51923,79.96794667,78.84615,87.5,73.07692,79.80769
