Country Name,CountryCode,ROL2015,ROL2016,ROL2017,ROL2018,ROL2019,COC2015,COC2016,COC2017,COC2018,COC2019,GE2015,GE2016,GE2017,GE2018,GE2019,Rank2015,Rank2016,Rank2017,Rank2018,Rank2019,Diff1516,DiffCoded1516,Diff1617,DiffCoded1617,Diff1718,DiffCoded1718,Diff1819,DiffCoded1819
Afghanistan,AFG,3.365385,5.769231,4.807693,4.326923,4.326923,6.25,3.365385,3.846154,4.326923,6.730769,8.173077,9.615385,9.134615,7.692307,7.211538,5.929487333,6.250000333,5.929487333,5.448717667,6.089743333,0.320513,1,-0.320513,0,-0.480769666,0,0.641025666,1
Albania,ALB,44.23077,41.82692,38.94231,38.94231,38.94231,38.46154,40.86538,42.30769,35.09615,33.17308,53.84615,52.88462,55.76923,57.69231,50.48077,45.51282,45.19230667,45.67307667,43.91025667,40.86538667,-0.32051333,0,0.48077,1,-1.76282,0,-3.04487,0
Algeria,DZA,19.23077,18.75,19.23077,22.11539,20.67308,29.80769,27.88461,30.28846,28.36539,29.32692,35.57692,35.57692,30.76923,37.01923,33.65385,28.20512667,27.40384333,26.76282,29.16667,27.88461667,-0.80128334,0,-0.64102333,0,2.40385,1,-1.28205333,0
American Samoa,ASM,87.98077,87.98077,88.46154,87.98077,87.98077,87.01923,87.5,93.75,94.71154,94.71154,70.19231,71.63461,71.15385,72.59615,72.59615,81.73077,82.37179333,84.45513,85.09615333,85.09615333,0.64102333,1,2.08333667,1,0.64102333,1,0,1
Andorra,AND,89.90385,90.86539,90.38461,90.86539,90.86539,87.01923,87.5,86.53846,86.53846,87.5,95.67308,98.07692,98.55769,98.55769,98.07692,90.86538667,92.14743667,91.82692,91.98718,92.14743667,1.28205,1,-0.32051667,0,0.16026,1,0.16025667,1
Angola,AGO,12.5,12.5,11.53846,14.42308,13.46154,3.846154,5.769231,6.25,11.53846,13.94231,15.38461,13.46154,14.90385,13.94231,12.98077,10.57692133,10.57692367,10.89743667,13.30128333,13.46154,2.34E-06,1,0.320513,1,2.40384666,1,0.16025667,1
Anguilla,AIA,56.73077,51.92308,51.44231,51.44231,63.46154,87.01923,87.5,86.53846,86.53846,87.5,79.32692,87.98077,76.44231,76.44231,76.44231,74.35897333,75.80128333,71.47436,71.47436,75.80128333,1.44231,1,-4.32692333,0,0,1,4.32692333,1
Antigua and Barbuda,ATG,70.67308,70.19231,66.82692,66.34615,65.38461,75.48077,74.51923,62.98077,63.46154,63.46154,62.5,64.42308,53.84615,52.88462,51.92308,69.55128333,69.71154,61.21794667,60.89743667,60.25641,0.16025667,1,-8.49359333,0,-0.32051,0,-0.64102667,0
Argentina,ARG,24.03846,37.5,46.15385,45.67308,37.01923,33.65385,47.11538,47.59615,55.28846,53.36538,50,60.09615,58.65385,54.80769,49.03846,35.89743667,48.23717667,50.80128333,51.92307667,46.47435667,12.33974,1,2.56410666,1,1.12179334,1,-5.44872,0
Armenia,ARM,41.34615,50.48077,49.51923,48.55769,49.03846,35.09615,32.69231,32.69231,42.78846,50,48.55769,49.03846,49.51923,51.44231,50,41.66666333,44.07051333,43.91025667,47.59615333,49.67948667,2.40385,1,-0.16025666,0,3.68589666,1,2.08333334,1
